age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
35-44,Research Coordinator,58500.0,0.0,USD,United States,New York,New York,15.5,9.0,Masters,Woman,Administrative & Operations,Lead/Executive
25-34,Project Manager,107000.0,6000.0,USD,United States,Minnesota,Minneapolis,15.5,9.0,College,Woman,Management,Lead/Executive
35-44,Speech Language Pathologist,93000.0,0.0,USD,United States,Louisiana,Shreveport,9.0,9.0,Masters,Woman,Healthcare,Senior
25-34,Project Geologist,75000.0,7500.0,USD,United States,California,Hayward,3.0,3.0,Masters,Woman,Scientist,Mid Level
25-34,Corporate Librarian,85000.0,5000.0,USD,United States,Missouri,St. Louis,6.0,3.0,Masters,Woman,Library & Information Services,Senior
25-34,Commercial Sales Executive,72000.0,48000.0,USD,United States,Florida,Panama City Beach,3.0,35.5,College,Woman,Marketing & Sales,Mid Level
25-34,Commercial Sales Executive,72000.0,48000.0,USD,United States,Florida,Panama City Beach,3.0,35.5,College,Woman,Marketing & Sales,Mid Level
35-44,Registered Nurse,71136.0,0.0,USD,United States,Idaho,Boise,15.5,15.5,College,Woman,Healthcare,Lead/Executive
25-34,Grants Manager,70000.0,750.0,USD,United States,California,Santa Rosa,9.0,6.0,Masters,Woman,Management,Senior
25-34,Staff Software Engineer,190000.0,50000.0,USD,United States,Massachusetts,Boston,15.5,15.5,College,Woman,Engineering & Development,Lead/Executive
25-34,Board Certified Behavior Analyst,98000.0,0.0,USD,United States,Maryland,Laurel,9.0,9.0,Masters,Woman,Analytics,Senior
35-44,Strategic Planning Manager,104000.0,2000.0,USD,United States,Texas,Arlington,15.5,15.5,Masters,Woman,Management,Lead/Executive
35-44,Associate Professor Of Business,100000.0,0.0,CAD,Canada,N/A,Vancouver,9.0,9.0,PhD,Woman,Education & Training,Senior
35-44,Technical Support Engineer Tier 3,88000.0,10000.0,USD,United States,Georgia,Atlanta,15.5,15.5,High School,Man,Engineering & Development,Lead/Executive
25-34,Account Executive/Broker,84500.0,3000.0,USD,United States,Illinois,Lincolnshire,6.0,6.0,College,Woman,Accountant & Finance,Senior
45-54,Receptionist,60320.0,3000.0,USD,United States,California,Hollywood,35.5,25.5,College,Man,Administrative & Operations,Lead/Executive
45-54,Director Change Management And Business Analysis Strategies,136000.0,0.0,USD,United States,California,Irvine,25.5,25.5,Masters,Man,Management,Lead/Executive
25-34,Marketing Director,55350.0,0.0,USD,United States,New York,New York City,6.0,3.0,College,Woman,Management,Senior
25-34,Graphic Designer,44500.0,0.0,USD,United States,Illinois,Lake Forest,9.0,9.0,College,Woman,Creative & Media,Senior
35-44,Scrum Master,118000.0,18000.0,USD,United States,Texas,Houston,15.5,15.5,College,Woman,Engineering & Development,Lead/Executive
35-44,Director Of Operations,123000.0,10000.0,USD,United States,Louisiana,New Orleans,15.5,15.5,Professional Degree,Woman,Management,Lead/Executive
35-44,It Business Analyst,93000.0,9300.0,USD,United States,Massachusetts,Lexington,15.5,15.5,College,Woman,Analytics,Lead/Executive
35-44,It Business Analyst,93000.0,9300.0,USD,United States,Massachusetts,Lexington,15.5,15.5,College,Woman,Analytics,Lead/Executive
35-44,Production Manager,58000.0,1000.0,USD,United States,California,Los Angeles,15.5,15.5,College,Woman,Management,Lead/Executive
35-44,Associate Vice President,175000.0,0.0,USD,United States,New York,Poughkeepsie,25.5,15.5,College,Woman,Management,Lead/Executive
45-54,Loan Officer,100000.0,0.0,USD,United States,California,Los Angeles,25.5,25.5,College,Man,Accountant & Finance,Lead/Executive
35-44,Director Of Events,95000.0,7000.0,USD,United States,Illinois,Chicago,15.5,15.5,College,Woman,Management,Lead/Executive
35-44,Principal Dev Lead,218400.0,2500.0,USD,United States,Oregon,Portland,15.5,15.5,College,Man,Management,Lead/Executive
35-44,Product Manager Ii,157000.0,0.0,USD,United States,California,San Francisco,6.0,3.0,College,Woman,Management,Senior
35-44,Director Of Data Science,175000.0,20000.0,USD,United States,Massachusetts,Lexington,15.5,9.0,PhD,Woman,Scientist,Lead/Executive
25-34,Senior Accounting Analyst,95000.0,9000.0,USD,United States,Georgia,Atlanta,15.5,9.0,College,Woman,Analytics,Lead/Executive
35-44,Assistant Professor,58000.0,0.0,USD,United States,Wisconsin,Eau Claire,9.0,9.0,PhD,Woman,Education & Training,Senior
45-54,Senior Engineer,119800.0,3500.0,USD,United States,Ohio,Raymond,25.5,25.5,College,Woman,Engineering & Development,Lead/Executive
35-44,Research Scientist,76000.0,0.0,USD,United States,North Carolina,Asheville,9.0,9.0,Masters,Woman,Scientist,Senior
35-44,Research Scientist,76000.0,0.0,USD,United States,North Carolina,Asheville,9.0,9.0,Masters,Woman,Scientist,Senior
